Category,Criteria,Value
Marketing & Communications,Communication Skills,0.92
Marketing & Communications,Creativity,0.87
Marketing & Communications,Adaptability,0.65
Marketing & Communications,Analytical Thinking,0.8
Marketing & Communications,Customer Focus,0.88
Sales & Account Management,Negotiation Skills,0.66
Sales & Account Management,Relationship Building,0.7
Sales & Account Management,Persuasion,0.63
Sales & Account Management,Time Management,0.76
Sales & Account Management,Customer Service,0.81
Finance,Analytical Skills,0.71
Finance,Attention to Detail,0.8
Finance,Integrity,0.94
Finance,Problem Solving,0.67
Finance,Time Management,0.79
Business Strategy,Strategic Thinking,0.65
Business Strategy,Leadership,0.72
Business Strategy,Decision Making,0.79
Business Strategy,Adaptability,0.77
Business Strategy,Risk Management,0.93
